Diploma notu dönüşüm tablosu:
dörtlük sistem: 2.37, yüzlük sistem 61.96, yüzlük sistem
dörtlük sistem: 2.36, yüzlük sistem 61.73, yüzlük sistem
dörtlük sistem: 2.35, yüzlük sistem 61.50, yüzlük sistem
dörtlük sistem: 2.34, yüzlük sistem 61.26, yüzlük sistem
dörtlük sistem: 2.33, yüzlük sistem 61.03, yüzlük sistem
dörtlük sistem: 2.32, yüzlük sistem 60.80, yüzlük sistem
dörtlük sistem: 2.31, yüzlük sistem 60.56, yüzlük sistem
dörtlük sistem: 2.3, yüzlük sistem 60.33, yüzlük sistem
dörtlük sistem: 2.29, yüzlük sistem 60.10, yüzlük sistem
dörtlük sistem: 2.28, yüzlük sistem 59.86, yüzlük sistem
dörtlük sistem: 2.27, yüzlük sistem 59.63, yüzlük sistem
dörtlük sistem: 2.26, yüzlük sistem 59.40, yüzlük sistem
dörtlük sistem: 2.25, yüzlük sistem 59.16, yüzlük sistem
dörtlük sistem: 2.24, yüzlük sistem 58.93, yüzlük sistem
dörtlük sistem: 2.23, yüzlük sistem 58.70, yüzlük sistem
dörtlük sistem: 2.22, yüzlük sistem 58.46, yüzlük sistem
dörtlük sistem: 2.21, yüzlük sistem 58.23, yüzlük sistem
dörtlük sistem: 2.2, yüzlük sistem 58.00, yüzlük sistem
dörtlük sistem: 2.19, yüzlük sistem 57.76, yüzlük sistem
dörtlük sistem: 2.18, yüzlük sistem 57.53, yüzlük sistem
dörtlük sistem: 2.17, yüzlük sistem 57.30, yüzlük sistem
dörtlük sistem: 2.16, yüzlük sistem 57.06, yüzlük sistem
dörtlük sistem: 2.15, yüzlük sistem 56.83, yüzlük sistem
dörtlük sistem: 2.14, yüzlük sistem 56.60, yüzlük sistem
dörtlük sistem: 2.13, yüzlük sistem 56.36, yüzlük sistem
dörtlük sistem: 2.12, yüzlük sistem 56.13, yüzlük sistem
dörtlük sistem: 2.11, yüzlük sistem 55.90, yüzlük sistem
dörtlük sistem: 2.1, yüzlük sistem 55.66, yüzlük sistem
dörtlük sistem: 2.09, yüzlük sistem 55.43, yüzlük sistem
dörtlük sistem: 2.08, yüzlük sistem 55.20, yüzlük sistem
dörtlük sistem: 2.07, yüzlük sistem 54.96, yüzlük sistem
dörtlük sistem: 2.06, yüzlük sistem 54.73, yüzlük sistem
dörtlük sistem: 2.05, yüzlük sistem 54.50, yüzlük sistem
dörtlük sistem: 2.04, yüzlük sistem 54.26, yüzlük sistem
dörtlük sistem: 2.03, yüzlük sistem 54.03, yüzlük sistem
dörtlük sistem: 2.02, yüzlük sistem 53.80, yüzlük sistem
dörtlük sistem: 2.01, yüzlük sistem 53.56, yüzlük sistem
dörtlük sistem: 2, yüzlük sistem 53.33, yüzlük sistem
dörtlük sistem: 1.99, yüzlük sistem 53.10, yüzlük sistem
dörtlük sistem: 1.98, yüzlük sistem 52.86, yüzlük sistem
dörtlük sistem: 1.97, yüzlük sistem 52.63, yüzlük sistem
dörtlük sistem: 1.96, yüzlük sistem 52.40, yüzlük sistem
dörtlük sistem: 1.95, yüzlük sistem 52.16, yüzlük sistem
dörtlük sistem: 1.94, yüzlük sistem 51.93, yüzlük sistem
dörtlük sistem: 1.93, yüzlük sistem 51.70, yüzlük sistem
dörtlük sistem: 1.92, yüzlük sistem 51.46, yüzlük sistem
dörtlük sistem: 1.91, yüzlük sistem 51.23, yüzlük sistem
dörtlük sistem: 1.9, yüzlük sistem 51.00, yüzlük sistem
dörtlük sistem: 1.89, yüzlük sistem 50.76, yüzlük sistem
dörtlük sistem: 1.88, yüzlük sistem 50.53, yüzlük sistem
dörtlük sistem: 1.87, yüzlük sistem 50.30, yüzlük sistem
dörtlük sistem: 1.86, yüzlük sistem 50.06, yüzlük sistem
dörtlük sistem: 1.85, yüzlük sistem 49.83, yüzlük sistem
dörtlük sistem: 1.84, yüzlük sistem 49.60, yüzlük sistem
dörtlük sistem: 1.83, yüzlük sistem 49.36, yüzlük sistem
dörtlük sistem: 1.82, yüzlük sistem 49.13, yüzlük sistem
dörtlük sistem: 1.81, yüzlük sistem 48.90, yüzlük sistem
dörtlük sistem: 1.8, yüzlük sistem 48.66, yüzlük sistem
dörtlük sistem: 1.79, yüzlük sistem 48.43, yüzlük sistem
dörtlük sistem: 1.78, yüzlük sistem 48.20, yüzlük sistem
dörtlük sistem: 1.77, yüzlük sistem 47.96, yüzlük sistem
dörtlük sistem: 1.76, yüzlük sistem 47.73, yüzlük sistem
dörtlük sistem: 1.75, yüzlük sistem 47.50, yüzlük sistem
dörtlük sistem: 1.74, yüzlük sistem 47.26, yüzlük sistem
dörtlük sistem: 1.73, yüzlük sistem 47.03, yüzlük sistem
dörtlük sistem: 1.72, yüzlük sistem 46.80, yüzlük sistem
dörtlük sistem: 1.71, yüzlük sistem 46.56, yüzlük sistem
dörtlük sistem: 1.7, yüzlük sistem 46.33, yüzlük sistem
